tiempo,To,hr,Environment:Site Outdoor Air Barometric Pressure [Pa](TimeStep),ws,wd,Id,Ib,alpha,C_ROJAS:Zone Electric Equipment Electric Power [W](TimeStep),C_ROJAS:Zone Electric Equipment Total Heating Rate [W](TimeStep),C_1:Zone Mean Air Temperature [C](TimeStep),C_2:Zone Mean Air Temperature [C](TimeStep),Ti,T_1:Zone Mean Air Temperature [C](TimeStep),T_2:Zone Mean Air Temperature [C](TimeStep),T_ROJAS:Zone Mean Air Temperature [C](TimeStep)
2019-06-12 02:50:00,24.5,50.0,87634.0,2.2,95.0,0.0,0.0,-36.8523118852316,0.0,0.0,26.728355210535156,26.172511660735324,26.771575679727977,25.80885822332325,25.657174822006613,25.984435710179266
2019-06-12 03:00:00,24.4,50.0,87629.0,1.2,94.0,0.0,0.0,-35.32093878302477,0.0,0.0,26.737198947481065,26.167153793465047,26.754996726499424,25.91748555532585,25.75848965655992,26.085174601048017
2019-06-12 03:10:00,24.4,51.0,87624.0,3.1,107.0,0.0,0.0,-33.725546041935985,0.0,0.0,26.54873254039553,26.010736089606944,26.58287665856553,25.500989080386592,25.36494351076119,25.644930081312427
2019-06-12 03:20:00,24.3,51.0,87624.0,3.1,106.0,0.0,0.0,-32.07145633967937,0.0,0.0,26.3914618766994,25.87273764246759,26.42679188450541,25.406915995920695,25.271458410049142,25.54027990774159
2019-06-12 03:30:00,24.2,52.0,87618.0,2.7,97.0,0.0,0.0,-30.36358865754965,0.0,0.0,26.39364818642073,25.85785308896903,26.404833577946615,25.452328174496397,25.30653418731162,25.580310288372306
2019-06-12 03:40:00,24.1,52.0,87621.0,1.2,112.0,0.0,0.0,-28.606467522035107,0.0,0.0,26.45492447790765,25.893848121813,26.433822409544913,25.63258931249595,25.47442676495307,25.753698984682412
2019-06-12 03:50:00,24.0,53.0,87622.0,1.4,137.0,0.0,0.0,-26.80423936638814,0.0,0.0,26.41836350735312,25.85464311957081,26.386830147492947,25.54966871929757,25.392360193455797,25.66045459323261
2019-06-12 04:00:00,23.9,52.0,87631.0,1.5,150.0,0.0,0.0,-24.960693495708252,0.0,0.0,26.34826665264906,25.786037344058624,26.309927183476077,25.472883948775053,25.316384978746214,25.573772806709446
2019-06-12 04:10:00,23.7,54.0,87632.0,1.1,168.0,0.0,0.0,-23.07928570341353,0.0,0.0,26.32393382283151,25.753923603819494,26.267787391490458,25.426029229148178,25.269327142725743,25.51718030278238
2019-06-12 04:20:00,23.5,55.0,87638.0,1.7,162.0,0.0,0.0,-21.163163076180933,0.0,0.0,26.203863306420068,25.6429397968196,26.153325515244752,25.200417095963246,25.047512785844702,25.284300507999454
2019-06-12 04:30:00,23.3,56.0,87639.0,0.9,159.0,0.0,0.0,-19.215188929339387,0.0,0.0,26.17256853720622,25.60137230618549,26.10425557746047,25.173388235754317,25.01803134493688,25.24570353722548
2019-06-12 04:40:00,23.2,57.0,87653.0,0.6,181.0,0.0,0.0,-17.23796713788939,0.0,0.0,26.15383383594193,25.57602456867445,26.06981594831465,25.08856697302537,24.93349586844071,25.15123831533424
2019-06-12 04:50:00,22.8,61.0,87659.0,0.4,32.0,0.0,0.0,-15.23386537856086,0.0,0.0,26.10092486006134,25.520543509884053,26.00904010163899,24.863891264551558,24.7098803140708,24.918679540713892
2019-06-12 05:00:00,22.1,65.0,87654.0,1.4,15.0,0.0,0.0,-13.205036986868715,0.0,0.0,26.101141915787586,25.504564518066573,25.989944327710003,24.607334411516966,24.45593992865997,24.65403170327032
2019-06-12 05:10:00,21.7,64.0,87661.0,0.7,309.0,0.0,0.0,-11.153441271509266,0.0,0.0,25.757864153387324,25.18605744208035,25.70276648448824,24.138396959066377,23.98707856656747,24.182171339487013
2019-06-12 05:20:00,21.8,66.0,87671.0,0.8,339.0,0.0,0.0,-9.080862227254624,0.0,0.0,25.77153790220727,25.192454533741657,25.686158916672344,24.245269887460214,24.094030946161052,24.27828094234085
2019-06-12 05:30:00,21.2,70.0,87678.0,2.5,342.0,0.0,0.0,-6.9889256558828405,0.0,0.0,25.61476960415469,24.985534515400815,25.537434871435156,24.53308402813169,24.39849669431376,24.546747039186247
2019-06-12 05:40:00,20.6,70.0,87693.0,2.4,341.0,0.0,0.0,-4.87911475016557,0.0,0.0,25.27128638950227,24.64340793106237,25.238585187681114,23.9928533431463,23.850346116062145,24.00829241733799
2019-06-12 05:50:00,20.7,66.0,87702.0,2.1,332.0,0.0,0.0,-2.752784224548919,0.0,0.0,25.34437496088395,24.6822987747722,25.266524596807574,23.794641989294828,23.64702254269432,23.803971306271233
2019-06-12 06:00:00,21.1,70.0,87715.0,2.3,339.0,0.0,0.0,-0.6111730926119591,0.0,0.0,25.283843092247015,24.635737890892237,25.20142907500599,24.250071827936164,24.111276509346837,24.245581170315727
2019-06-12 06:10:00,20.5,71.0,87722.0,2.5,337.0,3.391,37.7299,1.5445838007338706,0.0,0.0,25.1168631815665,24.480642821210125,25.04752682296084,23.91040445247301,23.76955135679916,23.90144119670002
